Country_A,Port_A,Country_B,Port_B,Distance,Route,Time,Price_Per_Container,Price_Per_kg
India,Bombay,Colombia,Cartagena,9058,SUEZ CANAL,37 days 18 hours,4268.7491237216,0.14229163745738665
India,Bombay,Finland,Helsinki,7421,SUEZ CANAL,30 days 22 hours,3497.2827607792,0.11657609202597334
India,Bombay,Egypt,Alexandria,3202,SUEZ CANAL,13 days 08 hours,1509.0014014304002,0.05030004671434667
India,Bombay,Portugal,Lisbon,5258,SUEZ CANAL,21 days 22 hours,2477.9292219616,0.08259764073205333
India,Bombay,Romania,Constantza,4028,SUEZ CANAL,16 days 19 hours,1898.2690958656,0.06327563652885333
India,Bombay,New Zealand,Auckland,7079,DIRECT,29 days 12 hours,3336.1089696208,0.11120363232069333
India,Bombay,Greece,Piraeus,3639,SUEZ CANAL,15 days 04 hours,1714.9456901328,0.05716485633776
India,Bombay,Peru,Callao,12378,DIRECT,51 days 14 hours,5833.3601957856,0.19444533985952
India,Bombay,Vietnam,Saigon,3081,DIRECT,12 days 20 hours,1451.9779256112001,0.048399264187040006
United Kingdom,Felixstowe,France,Marseilles,1982,STRAIT OF GIBRALTAR,8 days 06 hours,934.0539592864001,0.031135131976213336
United Kingdom,Felixstowe,Brazil,Santos,5361,DIRECT,22 days 08 hours,2526.4698666672,0.08421566222224
United Kingdom,Felixstowe,Italy,Genoa,2139,STRAIT OF GIBRALTAR,8 days 22 hours,1008.0430973328,0.03360143657776
United Kingdom,Felixstowe,Canada,Vancouver,8792,PANAMA CANAL,36 days 15 hours,4143.3917305984005,0.13811305768661336
United Kingdom,Felixstowe,Russia,Novorossiysk,3548,STRAIT OF GIBRALTAR,14 days 19 hours,1672.0602661696,0.055735342205653335
United Kingdom,Felixstowe,Australia,Melbourne,11042,SUEZ CANAL,46 days 00 hours,5203.7456197984,0.17345818732661333
United Kingdom,Felixstowe,Spain,Algeciras,1296,DIRECT,5 days 10 hours,610.7638401792,0.02035879467264
United Kingdom,Felixstowe,Mexico,Manzanillo,6496,PANAMA CANAL,27 days 02 hours,3061.3594952192,0.10204531650730668
United Kingdom,Felixstowe,Indonesia,Tanjung Priok,8481,SUEZ CANAL,35 days 08 hours,3996.8272596912,0.13322757532304
United Kingdom,Felixstowe,Netherlands,Rotterdam,121,DIRECT,12 hours,57.0234758192,0.0019007825273066668
United Kingdom,Felixstowe,Saudi Arabia,Jeddah,3928,SUEZ CANAL,16 days 09 hours,1851.1422563456001,0.06170474187818667
United Kingdom,Felixstowe,Turkey,Ambarli,3077,STRAIT OF GIBRALTAR,12 days 20 hours,1450.0928520304,0.048336428401013334
United Kingdom,Felixstowe,Argentina,Buenos Aires,6272,DIRECT,26 days 03 hours,2955.7953746944,0.09852651248981333
United Kingdom,Felixstowe,Sweden,Gothenburg,523,DIRECT,2 days 04 hours,246.47337068960002,0.008215779022986668
United Kingdom,Felixstowe,Poland,Gdansk,896,DIRECT,3 days 18 hours,422.2564820992,0.014075216069973334
United Kingdom,Felixstowe,Belgium,Antwerp,141,DIRECT,14 hours,66.4488437232,0.00221496145744
United Kingdom,Felixstowe,Thailand,Laem Chabang,9003,SUEZ CANAL,37 days 12 hours,4242.8293619856,0.14142764539952002
United Kingdom,Felixstowe,Iran,Bandar Abbas,6047,SUEZ CANAL,25 days 05 hours,2849.7599857744003,0.09499199952581334
United Kingdom,Felixstowe,Norway,Oslo,600,DIRECT,2 days 12 hours,282.76103712,0.009425367904
United Kingdom,Felixstowe,United Arab Emirates,Dubai,6096,SUEZ CANAL,25 days 10 hours,2872.8521371392003,0.09576173790464002
United Kingdom,Felixstowe,Nigeria,Lagos,4102,DIRECT,17 days 02 hours,1933.1429571104002,0.06443809857034667
United Kingdom,Felixstowe,Israel,Haifa,3292,STRAIT OF GIBRALTAR,13 days 17 hours,1551.4155569984,0.051713851899946664
United Kingdom,Felixstowe,South Africa,Durban,6875,CAPE OF GOOD HOPE,28 days 16 hours,3239.970217,0.10799900723333333
United Kingdom,Felixstowe,Hong Kong,Hong Kong,9679,SUEZ CANAL,40 days 08 hours,4561.4067971408,0.15204689323802667
United Kingdom,Felixstowe,Ireland,Dublin,559,DIRECT,2 days 08 hours,263.4390329168,0.008781301097226666
United Kingdom,Felixstowe,Singapore,Singapore,8219,SUEZ CANAL,34 days 06 hours,3873.3549401488003,0.12911183133829335
United Kingdom,Felixstowe,Malaysia,Johor,8244,SUEZ CANAL,34 days 08 hours,3885.1366500288,0.12950455500096
United Kingdom,Felixstowe,Philippines,Manila,9560,SUEZ CANAL,39 days 20 hours,4505.325858112,0.15017752860373332
United Kingdom,Felixstowe,Colombia,Cartagena,4517,DIRECT,18 days 20 hours,2128.7193411184003,0.07095731137061334
